iter	Logloss
0	0.5637846965
1	0.4827275361
2	0.4224274846
3	0.3835881659
4	0.349879092
5	0.3238855236
6	0.3019746749
7	0.2855427244
8	0.2697264978
9	0.2537226127
10	0.2411033765
11	0.2303337071
12	0.2202303675
13	0.2119463654
14	0.2046382556
15	0.1968309211
16	0.1904666965
17	0.1850659878
18	0.1770800117
19	0.1720997186
20	0.1661988102
21	0.1604014985
22	0.1572676669
23	0.1540156264
24	0.1509600037
25	0.147692589
26	0.1453213064
27	0.1398945473
28	0.1368567965
29	0.1343673214
30	0.1323103463
31	0.1282308352
32	0.1249891164
33	0.121217677
34	0.118228059
35	0.1164785267
36	0.1141239192
37	0.1116455172
38	0.107712044
39	0.1045405559
40	0.1025446942
41	0.1010173018
42	0.1002904103
43	0.09853787467
44	0.09758145931
45	0.09521011466
46	0.09447912313
47	0.09244809924
48	0.0908731879
49	0.08945719429
50	0.08888356489
51	0.0874180518
52	0.08687766731
53	0.08601359389
54	0.08537135324
55	0.08382799326
56	0.08339484385
57	0.08189021214
58	0.08114659428
59	0.0793957194
60	0.07724857492
61	0.07650542959
62	0.07520514832
63	0.07460706889
64	0.07414943751
65	0.07337983699
66	0.07262751071
67	0.07155128142
68	0.07018291203
69	0.06862175374
70	0.06713776454
71	0.06649869569
72	0.06567605405
73	0.06414868142
74	0.06364898254
75	0.06271097841
76	0.06182528676
77	0.06056934139
78	0.05961914865
79	0.05911907737
80	0.05827275151
81	0.05716649027
82	0.05617998084
83	0.05513672066
84	0.05442694639
85	0.05355266347
86	0.05256188227
87	0.05161317072
88	0.05113584685
89	0.05046208447
90	0.04938566661
91	0.04849377169
92	0.04797718951
93	0.0473311655
94	0.04646965622
95	0.04564151636
96	0.04536437462
97	0.04430680336
