iter	Passed	Remaining
0	141	13766
1	146	7052
2	151	4806
3	156	3686
4	161	3009
5	166	2556
6	171	2232
7	176	1985
8	181	1792
9	186	1636
10	190	1510
11	195	1403
12	200	1311
13	205	1232
14	210	1164
15	215	1103
16	220	1048
17	224	999
18	229	954
19	234	914
20	239	878
21	244	845
22	249	813
23	254	783
24	259	756
25	264	732
26	269	708
27	274	685
28	279	664
29	284	644
30	289	624
31	293	606
32	298	588
33	303	571
34	308	555
35	313	540
36	318	525
37	323	511
38	328	496
39	333	483
40	338	470
41	343	457
42	347	445
43	352	432
44	357	421
45	362	409
46	367	398
47	372	388
48	377	377
49	382	366
50	387	357
51	392	347
52	397	337
53	401	327
54	407	318
55	412	309
56	417	299
57	422	291
58	427	282
59	432	274
60	438	265
61	443	257
62	448	249
63	453	240
64	458	232
65	462	224
66	467	216
67	472	208
68	477	200
69	482	192
70	487	185
71	492	177
72	497	170
73	502	162
74	507	155
75	512	148
76	517	141
77	521	133
78	526	126
79	531	119
80	536	112
81	541	105
82	547	98
83	552	92
84	556	85
85	561	78
86	566	71
87	571	64
88	576	58
89	580	51
90	585	45
91	590	38
92	595	32
93	599	25
94	604	19
95	609	12
96	613	6
97	618	0
